date_forecast,date_scraped,location,precipitation_mm,precipitation_percent,temp_max_celsius,temp_min_celsius,weather_forecast,website_scraped
2021-05-01,2021-04-27 11:07:35,Fribourg,18,70,12,7,Regenschauer,meteotest
2021-04-27,2021-04-27 11:07:44,Jungfraujoch,0,5,-3,-8,schön,meteotest
2021-04-28,2021-04-27 11:07:44,Jungfraujoch,1,60,-4,-8,Schneeschauer,meteotest
2021-04-29,2021-04-27 11:07:44,Jungfraujoch,8,80,-4,-8,Schneeschauer,meteotest
2021-04-30,2021-04-27 11:07:44,Jungfraujoch,2,40,-4,-8,Schneeschauer,meteotest
2021-05-01,2021-04-27 11:07:44,Jungfraujoch,18,80,-5,-8,Schneeschauer,meteotest
28.4,2021-04-28 11:05:13,Bern,8,5,17,8,leicht bewölkt,meteotest
29.4,2021-04-28 11:05:13,Bern,9,70,14,9,Regenschauer,meteotest
30.4,2021-04-28 11:05:13,Bern,7,60,12,7,Regenschauer,meteotest
1.5,2021-04-28 11:05:13,Bern,15,60,13,7,Regenschauer,meteotest
2.5,2021-04-28 11:05:13,Bern,41,80,10,7,starker Regen,meteotest
28.4,2021-04-28 11:05:25,Zuerich,8,5,17,8,leicht bewölkt,meteotest
29.4,2021-04-28 11:05:25,Zuerich,9,70,14,9,Regenschauer,meteotest
30.4,2021-04-28 11:05:25,Zuerich,7,60,12,7,Regenschauer,meteotest
1.5,2021-04-28 11:05:25,Zuerich,15,60,13,7,Regenschauer,meteotest
2.5,2021-04-28 11:05:26,Zuerich,41,80,10,7,starker Regen,meteotest
28.4,2021-04-28 11:05:33,Luzern,3,5,18,8,stark bewölkt,meteotest
29.4,2021-04-28 11:05:33,Luzern,6,50,14,10,Regenschauer,meteotest
30.4,2021-04-28 11:05:33,Luzern,4,50,12,7,Regenschauer,meteotest
1.5,2021-04-28 11:05:33,Luzern,13,60,14,8,Regenschauer,meteotest
2.5,2021-04-28 11:05:34,Luzern,31,70,10,7,starker Regen,meteotest
28.4,2021-04-28 11:05:41,Fribourg,3,5,15,9,leicht bewölkt,meteotest
